,phrase,label,sentiment,subjectivity,language,count
Dead City,Dead City,MISC,,,de,1
Energiebedarf,Energiebedarf,MISC,,,de,1
AstroGeo,AstroGeo,MISC,,,de,1
C,C,MISC,,,de,1
Fachzentrums für Klimawandel Hessen,Fachzentrums für Klimawandel Hessen,MISC,,,de,1
Klima-News der Woche,Klima-News der Woche,MISC,,,de,1
stern+statt,stern+statt,MISC,,,de,1
Die neuesten Zahlen,Die neuesten Zahlen,MISC,,,de,1
CO2-Fußabdruck,CO2-Fußabdruck,MISC,,,de,1
ZIB2,ZIB2,MISC,,,de,1
Ein Krieg,Ein Krieg,MISC,,,de,1
"Lesen Sie jetzt „Hoch ""Beate","Lesen Sie jetzt „Hoch ""Beate",MISC,,,de,1
"Lesen Sie jetzt „Frost, Sonne und Wolken","Lesen Sie jetzt „Frost, Sonne und Wolken",MISC,,,de,1
Australian-Open-Start,Australian-Open-Start,MISC,,,de,1
Lesen Sie jetzt „Wald,Lesen Sie jetzt „Wald,MISC,,,de,1
Grand-Slam-Turnier des Jahres,Grand-Slam-Turnier des Jahres,MISC,,,de,1
Niemeier-Match,Niemeier-Match,MISC,,,de,1
Dortmunder,Dortmunder,MISC,,,de,1
polnische,polnische,MISC,,,de,1
Showdown im Hochhaus-Streit,Showdown im Hochhaus-Streit,MISC,,,de,1
Ein stundenlang grauer Himmel und Gewitter,Ein stundenlang grauer Himmel und Gewitter,MISC,,,de,1
Siebenundzwanzigjährige,Siebenundzwanzigjährige,MISC,,,de,1
Stern plusZugang,Stern plusZugang,MISC,,,de,1
Extremwetter häufen s…,Extremwetter häufen s…,MISC,,,de,1
Klimaschäden,Klimaschäden,MISC,,,de,1
Monat im Jahr 2024,Monat im Jahr 2024,MISC,,,de,1
Klima-Fakten,Klima-Fakten,MISC,,,de,1
Kinder und Jugendliche,Kinder und Jugendliche,MISC,,,de,1
Zürcher,Zürcher,MISC,,,de,1
Limo-Flasche,Limo-Flasche,MISC,,,de,1
Lesen Sie jetzt „Graupel,Lesen Sie jetzt „Graupel,MISC,,,de,1
Plattform X,Plattform X,MISC,,,de,1
Keynote-Veranstaltungen,Keynote-Veranstaltungen,MISC,,,de,1
Blitz,Blitz,MISC,,,de,1
Donner,Donner,MISC,-0.7,0.0,de,1
Vendée Globe Race,Vendée Globe Race,MISC,,,de,1
Munich Re,Munich Re,MISC,,,de,1
Im Jahr 2024,Im Jahr 2024,MISC,,,de,1
Das Jahr,Das Jahr,MISC,,,de,1
heißeste Jahr,heißeste Jahr,MISC,,,de,1
EU-Klimawandeldiensts Copernicus,EU-Klimawandeldiensts Copernicus,MISC,,,de,1
Kinderhaut schützen - Sonnenallergie bei Babys und Kleinkindern,Kinderhaut schützen - Sonnenallergie bei Babys und Kleinkindern,MISC,,,de,1
Lesen Sie jetzt „Woche,Lesen Sie jetzt „Woche,MISC,,,de,1
Grünen-Kandidat,Grünen-Kandidat,MISC,,,de,1
Dann bist du,Dann bist du,MISC,,,de,1
Dead,Dead,MISC,,,de,1
Nintendo Switch 2,Nintendo Switch 2,MISC,,,de,1
Video-Teaser,Video-Teaser,MISC,,,de,1
Nintendo-Konsole,Nintendo-Konsole,MISC,,,de,1
YouTube-Kanal,YouTube-Kanal,MISC,,,de,1
Eine Bäuerin im Norden,Eine Bäuerin im Norden,MISC,,,de,1
Facebook-Gruppe Amihan Women,Facebook-Gruppe Amihan Women,MISC,,,de,1
beispielswe…,beispielswe…,MISC,,,de,1
ver…,ver…,MISC,,,de,1
Brandkatastrophe im Skigebiet,Brandkatastrophe im Skigebiet,MISC,,,de,1
türkischen,türkischen,MISC,,,de,1
Fast-Heimspiel,Fast-Heimspiel,MISC,,,de,1
Die Schatten von,Die Schatten von,MISC,,,de,1
Die Schatten von Prag,Die Schatten von Prag,MISC,,,de,1
Das Jahr 1910,Das Jahr 1910,MISC,,,de,1
Eine kle…,Eine kle…,MISC,,,de,1
Nachwuchsturnier,Nachwuchsturnier,MISC,,,de,1
Basler Tennistalent,Basler Tennistalent,MISC,,,de,1
H…,H…,MISC,,,de,1
Angriff auf FC-Fans,Angriff auf FC-Fans,MISC,,,de,1
Bajazzo,Bajazzo,MISC,,,de,1
Doppelabend,Doppelabend,MISC,,,de,1
britisches,britisches,MISC,,,de,1
Temperaturrekorden,Temperaturrekorden,MISC,,,de,1
Vegetat…,Vegetat…,MISC,,,de,1
Sonne toben Orkanböen,Sonne toben Orkanböen,MISC,,,de,1
sintflutartiger Regen,sintflutartiger Regen,MISC,,,de,1
republikanische,republikanische,MISC,,,de,1
IMAGO,IMAGO,MISC,,,de,1
Lesen Sie jetzt „Nebel und Sonne am Wochenende,Lesen Sie jetzt „Nebel und Sonne am Wochenende,MISC,,,de,1
Bädertopf,Bädertopf,MISC,,,de,1
Lesen Sie jetzt „Viel Sonne am Wochenende,Lesen Sie jetzt „Viel Sonne am Wochenende,MISC,,,de,1
Deutsche Wetterdienst Kopiere,Deutsche Wetterdienst Kopiere,MISC,,,de,1
Rutschen,Rutschen,MISC,,,de,1
Tolles Wetter,Tolles Wetter,MISC,,,de,1
Sampiyonlar,Sampiyonlar,MISC,,,de,1
Jubel-Auftritt,Jubel-Auftritt,MISC,,,de,1
PT5,PT5,MISC,,,de,1
Maximum ih… 2024,Maximum ih… 2024,MISC,,,de,1
Pariser Klimakonferenz,Pariser Klimakonferenz,MISC,,,de,1
Gr,Gr,MISC,,,de,1
Bundestagswahl 2025 - Merz,Bundestagswahl 2025 - Merz,MISC,,,de,1
Debatte um Spitzenduelle,Debatte um Spitzenduelle,MISC,,,de,1
Von weißen Weihnachten,Von weißen Weihnachten,MISC,,,de,1
Kein Wunder,Kein Wunder,MISC,,,de,1
Jahr e…,Jahr e…,MISC,,,de,1
Yule-Box |,Yule-Box |,MISC,,,de,1
Deutschen,Deutschen,MISC,,,de,1
Weihnachtszeit,Weihnachtszeit,MISC,,,de,1
Abtreibung über K,Abtreibung über K,MISC,,,de,1
Rendezvous an Weihnachten,Rendezvous an Weihnachten,MISC,,,de,1
Nasa-Sonde kommt Sonne,Nasa-Sonde kommt Sonne,MISC,,,de,1
Android,Android,MISC,,,de,1
Phoenix,Phoenix,MISC,0.0,0.0,de,1
Dunkler Schatten,Dunkler Schatten,MISC,,,de,1
Radeon RX 7900 GRE,Radeon RX 7900 GRE,MISC,,,de,1
EOL,EOL,MISC,,,de,1
AMD Radeon RX 7900,AMD Radeon RX 7900,MISC,,,de,1
französischen,französischen,MISC,,,de,1
ProSiebenSat.1,ProSiebenSat.1,MISC,,,de,1
KI-Siesta,KI-Siesta,MISC,,,de,1
API,API,MISC,,,de,1
Sora,Sora,MISC,,,de,1
iOS,iOS,MISC,,,de,1
iPadOS,iPadOS,MISC,,,de,1
macOS,macOS,MISC,,,de,1
Elon Musk,Elon Musk,MISC,,,de,1
Viren,Viren,MISC,,,de,1
Weltkriegs,Weltkriegs,MISC,,,de,1
T…,T…,MISC,,,de,1
Paris-Goldgewinner,Paris-Goldgewinner,MISC,,,de,1
Flucht in die Sonne,Flucht in die Sonne,MISC,,,de,1
Tödlicher Wirbelsturm,Tödlicher Wirbelsturm,MISC,,,de,1
Lesen Sie jetzt „Erste Analysen,Lesen Sie jetzt „Erste Analysen,MISC,,,de,1
Fest,Fest,MISC,,,de,1
Weihnachtsfest,Weihnachtsfest,MISC,,,de,1
Habecks Schattenboxen,Habecks Schattenboxen,MISC,,,de,1
Solo-Weltumsegelung,Solo-Weltumsegelung,MISC,,,de,1
Lesen Sie jetzt „Nach Sonne,Lesen Sie jetzt „Nach Sonne,MISC,,,de,1
Kohle-Aus,Kohle-Aus,MISC,,,de,1
Sieben bahnbrechende Klima-Trends,Sieben bahnbrechende Klima-Trends,MISC,,,de,1
Hand aufs Herz,Hand aufs Herz,MISC,,,de,1
Das Jahr 1975,Das Jahr 1975,MISC,,,de,1
Lesen Sie jetzt „Mix aus Schnee,Lesen Sie jetzt „Mix aus Schnee,MISC,,,de,1
Somiedo Nation…,Somiedo Nation…,MISC,,,de,1
Chinesische,Chinesische,MISC,,,de,1
Lesen Sie jetzt „Wetter,Lesen Sie jetzt „Wetter,MISC,,,de,1
KW 1,KW 1,MISC,,,de,1
Willkommen im neuen Jahr!,Willkommen im neuen Jahr!,MISC,,,de,1
Statement-Sieg,Statement-Sieg,MISC,,,de,1
Jahr k…,Jahr k…,MISC,,,de,1
Klimaextreme,Klimaextreme,MISC,,,de,1
Sonnen-Rückstra,Sonnen-Rückstra,MISC,,,de,1
Das Wetter in,Das Wetter in,MISC,,,de,1
CO2-Emissionen,CO2-Emissionen,MISC,,,de,1
Bundesliga-Torhüter,Bundesliga-Torhüter,MISC,,,de,1
Hanse,Hanse,MISC,,,de,1
Putins Schatten,Putins Schatten,MISC,,,de,1
Early Access,Early Access,MISC,,,de,1
Lesen Sie jetzt „Sonde passiert Sonne,Lesen Sie jetzt „Sonde passiert Sonne,MISC,,,de,1
Rendezvous mit der Sonne,Rendezvous mit der Sonne,MISC,,,de,1
me…,me…,MISC,,,de,1
Lesen Sie jetzt „Gegen Hitze,Lesen Sie jetzt „Gegen Hitze,MISC,,,de,1
mittelalterlichen,mittelalterlichen,MISC,,,de,1
Frieden,Frieden,MISC,,,de,1
F…,F…,MISC,,,de,1
Kipppunkte,Kipppunkte,MISC,,,de,1
Lesen Sie jetzt „Letzte Dezembertage,Lesen Sie jetzt „Letzte Dezembertage,MISC,,,de,1
Lesen Sie jetzt „Prognose: Arbeitslosigkeit,Lesen Sie jetzt „Prognose: Arbeitslosigkeit,MISC,,,de,1
Mehr a…,Mehr a…,MISC,,,de,1
zeh…,zeh…,MISC,,,de,1
Wind,Wind,MISC,,,de,1
nasses Jahr,nasses Jahr,MISC,,,de,1
Frühlingslüftchen am Wochenende,Frühlingslüftchen am Wochenende,MISC,,,de,1
ATLAS,ATLAS,MISC,,,de,1
Ukraine-,Ukraine-,MISC,,,de,1
Nichts und niemand,Nichts und niemand,MISC,,,de,1
Open-Air-Musik,Open-Air-Musik,MISC,,,de,1
Lesen Sie jetzt „Etwas Sonnenschein,Lesen Sie jetzt „Etwas Sonnenschein,MISC,,,de,1
Made in Germany,Made in Germany,MISC,,,de,1
Alpine Ski-WM,Alpine Ski-WM,MISC,,,de,1
DSV-Aussich…,DSV-Aussich…,MISC,,,de,1
Zehn Jahre später reichen,Zehn Jahre später reichen,MISC,,,de,1
Überleben in der Hitze,Überleben in der Hitze,MISC,,,de,1
The White,The White,MISC,,,de,1
Dresden-Gedenken,Dresden-Gedenken,MISC,0.0,0.0,de,1
Schwarzenegger-Clan,Schwarzenegger-Clan,MISC,,,de,1
Pre…,Pre…,MISC,,,de,1
ZEIT,ZEIT,MISC,,,de,1
Klimainitiative,Klimainitiative,MISC,,,de,1
Probst Steffen Paar,Probst Steffen Paar,MISC,0.0,0.0,de,1
"Lesen Sie jetzt „Fahrerflucht mit ""Trost-Sonne","Lesen Sie jetzt „Fahrerflucht mit ""Trost-Sonne",MISC,,,de,1
I,I,MISC,,,de,1
britischen,britischen,MISC,,,de,1
Hitze im Winter,Hitze im Winter,MISC,,,de,1
Ein mysteriöser Temperatursprung,Ein mysteriöser Temperatursprung,MISC,,,de,1
Lesen Sie jetzt „Etwas Sonne am Wochenende,Lesen Sie jetzt „Etwas Sonne am Wochenende,MISC,,,de,1
Kosmos Kandinsky,Kosmos Kandinsky,MISC,,,de,1
Sacramento Mall Proposal #,Sacramento Mall Proposal #,MISC,,,de,1
Sacramento Mall Proposal #4,Sacramento Mall Proposal #4,MISC,,,de,1
Jahresmonat,Jahresmonat,MISC,,,de,1
In der Nacht,In der Nacht,MISC,,,de,1
BRIGITTE-Angebot,BRIGITTE-Angebot,MISC,,,de,1
Coaching-Videos,Coaching-Videos,MISC,,,de,1
Kostenlos und ohne Abo,Kostenlos und ohne Abo,MISC,,,de,1
Deutsche U 21,Deutsche U 21,MISC,,,de,1
EM-Quali 2027,EM-Quali 2027,MISC,,,de,1
Tag und Nacht,Tag und Nacht,MISC,,,de,1
UNTER,UNTER,MISC,,,de,1
Putins Armada,Putins Armada,MISC,,,de,1
Die Stadt und ihre ungewisse Mauer,Die Stadt und ihre ungewisse Mauer,MISC,,,de,1
Ibiza-Februar,Ibiza-Februar,MISC,0.0,0.0,de,1
80 Jahre nach Zerstörung,80 Jahre nach Zerstörung,MISC,,,de,1
Zweiten Weltkrieg,Zweiten Weltkrieg,MISC,,,de,1
Das Wetter in Bayern,Das Wetter in Bayern,MISC,,,de,1
Jetstream,Jetstream,MISC,,,de,1
Aktuelle Nac… [+3211 chars,Aktuelle Nac… [+3211 chars,MISC,,,de,1
Dunkelflauten,Dunkelflauten,MISC,0.0,0.0,de,1
weiterlesen auf t3n.de,weiterlesen auf t3n.de,MISC,,,de,1
Of Modern Performance,Of Modern Performance,MISC,,,de,1
römischen,römischen,MISC,,,de,1
Das Kind fi…,Das Kind fi…,MISC,,,de,1
Wettersysteme,Wettersysteme,MISC,,,de,1
We…,We…,MISC,,,de,1
Klimakrieg,Klimakrieg,MISC,,,de,1
Tennis-Turnier in Rio,Tennis-Turnier in Rio,MISC,,,de,1
Anschlag in,Anschlag in,MISC,,,de,1
Eisschilden Grönlands,Eisschilden Grönlands,MISC,,,de,1
Jahr 2000,Jahr 2000,MISC,,,de,1
Von der Kältewelle in Teilen Amerika,Von der Kältewelle in Teilen Amerika,MISC,,,de,1
Publisher EA,Publisher EA,MISC,,,de,1
La cache,La cache,MISC,,,de,1
brasilianische,brasilianische,MISC,,,de,1
Shaun of the Dead,Shaun of the Dead,MISC,,,de,1
österreichischen,österreichischen,MISC,,,de,1
Brasiliens Millionenme,Brasiliens Millionenme,MISC,,,de,1
Lesen Sie jetzt „Klimawandel und Lösungen auf Architekturbiennale,Lesen Sie jetzt „Klimawandel und Lösungen auf Architekturbiennale,MISC,,,de,1
chinesischem,chinesischem,MISC,,,de,1
Der Mensch,Der Mensch,MISC,,,de,1
Zwiebelbauern mit dem Klimawandel,Zwiebelbauern mit dem Klimawandel,MISC,,,de,1
Zwiebelbauern,Zwiebelbauern,MISC,,,de,1
Im Jahr 1751,Im Jahr 1751,MISC,,,de,1
Sonne am Tag und Frost,Sonne am Tag und Frost,MISC,,,de,1
Lesen Sie jetzt „Sonne am Tag und Frost,Lesen Sie jetzt „Sonne am Tag und Frost,MISC,,,de,1
Sonne am Tag,Sonne am Tag,MISC,,,de,1
BMW M3,BMW M3,MISC,,,de,1
Elektroauto,Elektroauto,MISC,,,de,1
Wetterla…,Wetterla…,MISC,,,de,1
Polarfront,Polarfront,MISC,,,de,1
TOS-2,TOS-2,MISC,,,de,1
Gefühlt 50 Grad Celsius,Gefühlt 50 Grad Celsius,MISC,,,de,1
Mitnetz,Mitnetz,MISC,,,de,1
Lesen Sie jetzt „Kühle und neblige Tage – Sonnenschein am Wochenende,Lesen Sie jetzt „Kühle und neblige Tage – Sonnenschein am Wochenende,MISC,,,de,1
PT5.,PT5.,MISC,,,de,1
DAX,DAX,MISC,,,de,1
Die tödlichen Feuer von Los Angeles,Die tödlichen Feuer von Los Angeles,MISC,,,de,1
REISEZIELE,REISEZIELE,MISC,,,de,1
RTL-Interview,RTL-Interview,MISC,,,de,1
Dax & Co.,Dax & Co.,MISC,,,de,1
chinesischer,chinesischer,MISC,,,de,1
Grupotel Alcudia Suite,Grupotel Alcudia Suite,MISC,,,de,1
Das Grupotel Alcudia Suite,Das Grupotel Alcudia Suite,MISC,,,de,1
Jahr 80,Jahr 80,MISC,,,de,1
Die verheerenden Brände,Die verheerenden Brände,MISC,,,de,1
SAP zurü,SAP zurü,MISC,,,de,1
World Weather Attribution,World Weather Attribution,MISC,,,de,1
Sa…,Sa…,MISC,,,de,1
Die Frau ohne Schatten,Die Frau ohne Schatten,MISC,,,de,1
Durchschnittlichkeit,Durchschnittlichkeit,MISC,,,de,1
World Weather Attribution-Initiative,World Weather Attribution-Initiative,MISC,,,de,1
Feuer von Los Angeles,Feuer von Los Angeles,MISC,,,de,1
Men…,Men…,MISC,,,de,1
DeepSeeks,DeepSeeks,MISC,,,de,1
DeepSeek,DeepSeek,MISC,,,de,1
Blitz-Frühling vor der Tür,Blitz-Frühling vor der Tür,MISC,,,de,1
Wettbewerbs,Wettbewerbs,MISC,,,de,1
soziale,soziale,MISC,,,de,1
Corsair EX400U,Corsair EX400U,MISC,,,de,1
USB,USB,MISC,,,de,1
Richter,Richter,MISC,,,de,1
ORF Vorarlberg,ORF Vorarlberg,MISC,,,de,1
Hot Yoga und Hitze-Workouts,Hot Yoga und Hitze-Workouts,MISC,,,de,1
bayerische,bayerische,MISC,,,de,1
Warten,Warten,MISC,,,de,1
Das Sommerhaus der Normalos,Das Sommerhaus der Normalos,MISC,,,de,1
Sommerhaus der Stars,Sommerhaus der Stars,MISC,,,de,1
Sommerhau,Sommerhau,MISC,,,de,1
Lesen Sie jetzt „Regen,Lesen Sie jetzt „Regen,MISC,,,de,1
Läster-Gewitter,Läster-Gewitter,MISC,,,de,1
Blitz-Frühling,Blitz-Frühling,MISC,,,de,1
Waldbrand-Risiko,Waldbrand-Risiko,MISC,,,de,1
di…,di…,MISC,0.7,0.0,de,1
Im Schatten der großen Releases,Im Schatten der großen Releases,MISC,,,de,1
Lesen Sie jetzt „Klirrende Kälte und viel Sonne,Lesen Sie jetzt „Klirrende Kälte und viel Sonne,MISC,,,de,1
Am Insel-Wochenende,Am Insel-Wochenende,MISC,,,de,1
Lesen Sie jetzt „Hochdruckwetter mit wenig Sonne,Lesen Sie jetzt „Hochdruckwetter mit wenig Sonne,MISC,,,de,1
Cor,Cor,MISC,,,de,1
Lesen Sie jetzt „Kaum Niederschlag - Wechsel von Sonne,Lesen Sie jetzt „Kaum Niederschlag - Wechsel von Sonne,MISC,,,de,1
Neue Woche,Neue Woche,MISC,,,de,1
Nebel und Sonne,Nebel und Sonne,MISC,,,de,1
Lebensmittel-Messe,Lebensmittel-Messe,MISC,,,de,1
Die neue Woche,Die neue Woche,MISC,,,de,1
trockenes Pf…,trockenes Pf…,MISC,,,de,1
Sachsen,Sachsen,MISC,0.008333333333333335,0.0,de,1
Ski-WM,Ski-WM,MISC,,,de,1
WM-Song,WM-Song,MISC,,,de,1
Frostige Nächte,Frostige Nächte,MISC,,,de,1
Tagsüber s…,Tagsüber s…,MISC,,,de,1
Kurztrip in d…,Kurztrip in d…,MISC,,,de,1
Das schrumpfende Meereis,Das schrumpfende Meereis,MISC,,,de,1
Win…,Win…,MISC,,,de,1
Ukrainer,Ukrainer,MISC,,,de,1
Kriegsbeginn,Kriegsbeginn,MISC,,,de,1
Mars-Geschichte,Mars-Geschichte,MISC,,,de,1
Lesen Sie jetzt „Sonne und Wolken,Lesen Sie jetzt „Sonne und Wolken,MISC,,,de,1
Tag weite…,Tag weite…,MISC,,,de,1
Lesen Sie jetzt „Zum Wochenende Mix aus Sonne und Wolken,Lesen Sie jetzt „Zum Wochenende Mix aus Sonne und Wolken,MISC,,,de,1
Lesen Sie jetzt „Sonne-Wolken-Mix,Lesen Sie jetzt „Sonne-Wolken-Mix,MISC,,,de,1
Lesen Sie jetzt „Wechsel aus Sonne und Wolken am Wochenende,Lesen Sie jetzt „Wechsel aus Sonne und Wolken am Wochenende,MISC,,,de,1
Qwen2.5-Max,Qwen2.5-Max,MISC,,,de,1
Alibabas,Alibabas,MISC,,,de,1
Wochene,Wochene,MISC,,,de,1
Wetter-Rückblick,Wetter-Rückblick,MISC,0.0,0.0,de,1
Wer auf dick,Wer auf dick,MISC,,,de,1
Mehr Schatten,Mehr Schatten,MISC,,,de,1
Lesen Sie jetzt „Wintersonne,Lesen Sie jetzt „Wintersonne,MISC,,,de,1
Lesen Sie jetzt „Wolken und Sonne,Lesen Sie jetzt „Wolken und Sonne,MISC,,,de,1
Secret Service,Secret Service,MISC,,,de,1
Warum meine Kinder,Warum meine Kinder,MISC,,,de,1
Virus,Virus,MISC,,,de,1
